Game_Date,Team_Name,Location,Q1,Q2,Q3,Q4,Total_Score
2023-12-13T00:00:00,Nets,Away,31,33,22,30,116
2023-12-11T00:00:00,Nets,Away,18,30,37,33,118
2023-12-08T00:00:00,Nets,Home,26,24,40,34,124
2023-12-06T00:00:00,Nets,Away,31,22,28,33,114
2023-12-02T00:00:00,Nets,Home,43,30,25,31,129
2023-11-30T00:00:00,Nets,Home,37,34,35,22,128
2023-11-28T00:00:00,Nets,Home,22,30,24,39,115
2023-11-26T00:00:00,Nets,Home,19,44,33,22,118
2023-11-25T00:00:00,Nets,Home,26,37,27,22,112
2023-11-22T00:00:00,Nets,Away,33,34,28,36,131
2023-11-19T00:00:00,Nets,Home,22,27,22,28,99
2023-11-16T00:00:00,Nets,Away,27,25,31,32,115
2023-11-14T00:00:00,Nets,Home,33,24,31,36,124
2023-11-12T00:00:00,Nets,Home,30,19,29,24,102
2023-11-10T00:00:00,Nets,Away,33,21,30,23,107
2023-11-08T00:00:00,Nets,Home,13,33,27,27,100
2023-11-06T00:00:00,Nets,Home,32,35,27,31,125
2023-11-04T00:00:00,Nets,Home,34,24,30,26,114
2023-11-03T00:00:00,Nets,Away,35,24,19,31,109
2023-11-01T00:00:00,Nets,Away,29,17,29,34,109
2023-10-30T00:00:00,Nets,Away,42,24,33,34,133
2023-10-27T00:00:00,Nets,Away,25,34,30,31,120
2023-10-25T00:00:00,Nets,Home,32,31,24,26,113
2023-12-16T00:00:00,Knicks,Away,33,33,32,24,122
2023-12-15T00:00:00,Knicks,Away,31,32,34,42,139
2023-12-13T00:00:00,Knicks,Away,31,19,34,29,113
2023-12-11T00:00:00,Knicks,Home,35,31,32,38,136
2023-12-08T00:00:00,Knicks,Away,32,33,30,28,123
2023-12-05T00:00:00,Knicks,Away,35,37,24,26,122
2023-12-01T00:00:00,Knicks,Away,34,23,33,29,119
2023-11-30T00:00:00,Knicks,Home,31,23,31,33,118
2023-11-28T00:00:00,Knicks,Home,29,24,27,35,115
2023-11-26T00:00:00,Knicks,Home,22,34,36,21,113
2023-11-24T00:00:00,Knicks,Home,25,26,20,29,100
2023-11-20T00:00:00,Knicks,Away,28,28,19,25,100
2023-11-18T00:00:00,Knicks,Away,30,31,28,33,122
2023-11-17T00:00:00,Knicks,Away,35,30,24,31,120
2023-11-15T00:00:00,Knicks,Away,33,24,30,29,116
2023-11-13T00:00:00,Knicks,Away,24,29,23,22,98
2023-11-12T00:00:00,Knicks,Home,32,32,35,30,129
2023-11-08T00:00:00,Knicks,Home,33,32,34,27,126
2023-11-06T00:00:00,Knicks,Home,19,23,34,35,111
2023-11-03T00:00:00,Knicks,Away,25,21,30,29,105
2023-11-01T00:00:00,Knicks,Home,22,28,13,26,89
2023-10-31T00:00:00,Knicks,Away,28,30,28,23,109
2023-10-28T00:00:00,Knicks,Away,12,25,31,19,87
2023-10-27T00:00:00,Knicks,Away,35,34,31,26,126
2023-10-25T00:00:00,Knicks,Home,18,28,27,31,104
2023-12-17T00:00:00,Magic,Away,31,19,24,23,97
2023-12-15T00:00:00,Magic,Away,24,27,27,33,111
2023-12-11T00:00:00,Magic,Home,22,29,30,23,104
2023-12-08T00:00:00,Magic,Home,28,30,35,30,123
